email,score_1,score_2,score_3,score_4,score_5,grade_1,grade_2,grade_3,grade_4,grade_5
rdawidowsky4@ocn.ne.jp,47,46,15,49,43,Above,Above,Meets Below,Above,Above
fhindmorem@samsung.com,26,1,28,9,12,Meets,Below,Meets,Below,Meets Below
dhaberchamn@gmpg.org,31,21,6,27,37,Meets Above,Meets,Below,Above,Meets Above
dosharryo@rakuten.co.jp,39,4,3,7,11,Meets Above,Below,Below,Below,Meets Below
tfaasp@sogou.com,34,9,38,49,13,Meets Above,Below,Meets Above,Meets,Meets Below
cmapstoneq@admin.ch,28,27,50,48,12,Meets,Meets,Above,Meets,Meets Below
bpyecroftr@senate.gov,43,27,13,9,19,Above,Meets,Meets Below,Below,Meets Below
miffes@icq.com,25,11,44,25,8,Meets,Meets Below,Above,Meets,Below
tisont@theglobeandmail.com,44,45,4,16,13,Above,Above,Below,Meets Below,Meets Below
ceulu@nymag.com,41,7,30,45,35,Above,Below,Meets,Meets Above,Meets Above
gipsleyv@prlog.org,1,38,45,50,37,Below,Meets Above,Above,Meets Above,Meets Above
sbakewellw@google.it,13,26,31,19,46,Meets Below,Meets,Meets Above,Meets Below,Above
